Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
"Lighting technicians and media and communication equipment workers, all other",27-4098,26.6,27.9,1.3,4.9,2.8,"73,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist,29-2035,38.7,41.4,2.7,7,2.2,"73,410",Associate's degree,4,Less than 5 years,2,None,6
Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse,29-1141,"3,096.70","3,318.70",221.9,7.2,175.9,"73,300",Bachelor's degree,3,None,4,None,6
Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer,27-3042,58.4,62.7,4.3,7.4,5.7,"72,850",Bachelor's degree,3,Less than 5 years,2,Short-term on-the-job training,5
Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer,49-9051,115,116.9,2,1.7,8.9,"72,520",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot",53-5021,38.9,38.7,-0.1,-0.3,3.3,"72,340",Postsecondary nondegree award,5,Less than 5 years,2,None,6
"Social work teachers, postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor",25-1113,17.3,18.3,1,5.7,1.4,"72,070",Doctoral or professional degree,1,None,4,None,6
Transit and railroad police    * Railroad Detective* Railroad Police Officer* Track Patrol* Transit Authority Police* Transit Police Officer,33-3052,4.5,4.7,0.2,4,0.3,"71,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,13-2011,"1,436.10","1,497.90",61.7,4.3,125.7,"71,550",Bachelor's degree,3,None,4,None,6
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor",25-1069,19.3,19.2,-0.1,-0.3,1.4,"71,530",Doctoral or professional degree,1,None,4,None,6
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor",25-1082,5.4,5.5,0.2,3,0.4,"71,410",Doctoral or professional degree,1,None,4,None,6
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst",19-2041,90.9,98,7.1,7.8,8.9,"71,360",Bachelor's degree,3,None,4,None,6
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager",11-9013,952.3,890.6,-61.6,-6.5,80.9,"71,160",High school diploma or equivalent,7,5 years or more,1,None,6
Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist,19-1041,8,8.3,0.4,4.6,0.6,"70,990",Master's degree,2,None,4,None,6
Gas plant operators    * Gas Controller* Gas Plant Dispatcher* Gas Plant Operator* Gas Plant Technician* Natural Gas Plant Technician,51-8092,14.7,13.9,-0.8,-5.6,1.3,"70,710",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor",25-1122,35.6,36.7,1.1,3.2,2.8,"70,630",Doctoral or professional degree,1,None,4,None,6
Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor,29-1011,51.1,53.4,2.3,4.5,1.4,"70,340",Doctoral or professional degree,1,None,4,None,6
Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,13-2053,114.7,107.6,-7.1,-6.2,7.3,"70,020",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor",25-1124,30.6,32.3,1.7,5.7,2.5,"69,990",Doctoral or professional degree,1,None,4,None,6
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor",25-1121,116.3,122.8,6.5,5.6,9.5,"69,530",Master's degree,2,None,4,None,6
Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect,17-1012,24.5,23.9,-0.6,-2.4,1.5,"69,360",Bachelor's degree,3,None,4,Internship/residency,1
Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,13-1041,337.6,353.2,15.6,4.6,27.7,"69,050",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative,13-1075,78.9,73.5,-5.4,-6.8,6.1,"69,020",Bachelor's degree,3,Less than 5 years,2,None,6
Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,19-1012,14.2,14.9,0.6,4.4,1.4,"68,970",Bachelor's degree,3,None,4,None,6
"Postsecondary teachers, all other    * Braille Teacher* Flight Simulator Teacher* Interdisciplinary Professor* Military Science Teacher* Project Management Professor",25-1199,245.9,250.7,4.8,2,18.9,"68,970",Doctoral or professional degree,1,None,4,None,6
Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,27-1021,42.2,40.7,-1.5,-3.5,3.4,"68,890",Bachelor's degree,3,None,4,None,6
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor",25-1123,81.3,82.9,1.7,2.1,6.3,"68,490",Doctoral or professional degree,1,None,4,None,6
Orthotists and prosthetists    * American Board Certified Orthotist* Artificial Limb Fitter* Certified Orthotic Fitter* Certified Prosthetist/Orthotist* Licensed Prosthetist* Orthotic/Prosthetic Practitioner* Orthotist* Pedorthist* Prosthetist,29-2091,10,11.7,1.7,16.9,0.9,"68,410",Master's degree,2,None,4,Internship/residency,1
Subway and streetcar operators    * Light Rail Operator* Light Rail Transit Operator* Light Rail Vehicle Operator* Rapid Transit Operator* Subway Conductor* Subway Train Operator* Tram Operator* Trolley Car Operator,53-4041,10.7,11.3,0.6,5.3,1.1,"67,880",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"First-line supervisors of mechanics, installers, and repairers    * Automobile Body Repair Supervisor* Body Shop Supervisor* Electronic Maintenance Supervisor* Fleet Maintenance Supervisor* Heating, Ventilation, and Air Conditioning Supervisor* Oil Field Equipment Mechanic Supervisor* Railroad Car Repair Supervisor* Repair Department Supervisor",49-1011,499.1,512.4,13.3,2.7,42.1,"67,460",High school diploma or equivalent,7,Less than 5 years,2,None,6
Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director,11-9151,175.5,205.4,29.8,17,17.1,"67,150",Bachelor's degree,3,Less than 5 years,2,None,6
Locomotive engineers    * Freight Engineer* Railroad Engineer* Railway Engineer* Train Engineer,53-4011,27.4,26.5,-1,-3.5,1.9,"67,090",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner",13-1031,332.9,311.5,-21.4,-6.4,21,"66,790",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Coordinator* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist,25-9031,192.9,204.3,11.4,5.9,17.7,"66,290",Master's degree,2,5 years or more,1,None,6
First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor,47-1011,685,718,33,4.8,65.5,"66,210",High school diploma or equivalent,7,5 years or more,1,None,6
Gas compressor and gas pumping station operators    * Acetylene Gas Compressor* Butane Compressor Operator* Compressor Station Operator* Gas Compressor Operator* Gas Cylinder Processor* Gas Storage Operator* High Pressure Compressed Gas Filler* LNG Plant Operator* Liquid Natural Gas Plant Operator,53-7071,3.7,3.6,-0.1,-2.1,0.4,"66,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Aerospace engineering and operations technologists and technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,17-3021,11.9,12.7,0.8,7,1.1,"66,020",Associate's degree,4,None,4,None,6
Railroad conductors and yardmasters    * Freight Conductor* Passenger Car Conductor* Train Conductor* Yard Conductor,53-4031,36,35.2,-0.8,-2.1,2.9,"65,990",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer,49-2091,22.8,23.8,1,4.4,1.7,"65,700",Associate's degree,4,None,4,None,6
"Education teachers, postsecondary    * Counselor Education Professor* Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor",25-1081,77.3,81,3.7,4.8,6.2,"65,510",Doctoral or professional degree,1,Less than 5 years,2,None,6
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer",17-1021,12,12.5,0.5,4.5,0.9,"65,470",Bachelor's degree,3,None,4,None,6
Electrical and electronic engineering technologists and technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician,17-3023,125.8,127.8,1.9,1.5,10.7,"65,260",Associate's degree,4,None,4,None,6
Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,13-1051,214.2,211,-3.2,-1.5,17.5,"65,250",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Patternmakers, wood    * Wood Die Maker",51-7032,0.7,0.6,0,-4.7,0.1,"64,880",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Designers, all other    * Memorial Marker Designer",27-1029,13.6,13.4,-0.3,-1.9,1.1,"64,620",Bachelor's degree,3,None,4,None,6
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist",13-1141,94.4,101.8,7.5,7.9,9,"64,560",Bachelor's degree,3,Less than 5 years,2,None,6
"Artists and related workers, all other    * Calligrapher* Tattoo Artist",27-1019,13.1,13,0,-0.2,1.2,"64,490",No formal educational credential,8,None,4,Long-term on-the-job training,3
Buyers and purchasing agents,13-1020,449.3,409.7,-39.7,-8.8,36,"64,380",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor",25-1193,19.1,19.6,0.5,2.6,1.5,"64,380",Doctoral or professional degree,1,None,4,None,6
Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic,49-3011,137.2,143.5,6.3,4.6,11.2,"64,090",Postsecondary nondegree award,5,None,4,None,6
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman",23-1022,7.3,7.9,0.6,7.7,0.4,"63,930",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist,13-1161,738.1,868.4,130.3,17.7,84.2,"63,790",Bachelor's degree,3,None,4,None,6
Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,27-4032,38.3,46.5,8.3,21.6,4.3,"63,780",Bachelor's degree,3,None,4,None,6
First-line supervisors of correctional officers    * Chief Jailer* Correctional Officer Sergeant* Correctional Supervisor* Corrections Sergeant* Prison Guard Supervisor,33-1011,48.7,44.9,-3.8,-7.8,2.8,"63,730",High school diploma or equivalent,7,Less than 5 years,2,None,6
Historians    * Genealogist* Historiographer* Protohistorian,19-3093,3.5,3.6,0.1,2.6,0.3,"63,680",Master's degree,2,None,4,None,6
Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist,19-3091,8,8.4,0.4,5.2,0.8,"63,670",Master's degree,2,None,4,None,6
Computer network support specialists,15-1231,195.1,207.7,12.6,6.4,14.8,"63,460",Associate's degree,4,None,4,None,6
Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,17-1022,48,48.7,0.8,1.6,3.6,"63,420",Bachelor's degree,3,None,4,Internship/residency,1
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser",13-1032,15.9,15.3,-0.6,-4,1.1,"63,270",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer,13-2072,316.9,327,10.1,3.2,24.2,"63,270",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist,19-1023,21,21.8,0.8,3.9,1.8,"63,270",Bachelor's degree,3,None,4,None,6
Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist,19-1013,17.8,19,1.2,6.8,1.9,"63,200",Bachelor's degree,3,None,4,None,6
Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer,27-3043,131.2,128.2,-3.1,-2.3,11.6,"63,200",Bachelor's degree,3,None,4,Long-term on-the-job training,3
Police and sheriff's patrol officers    * Border Guard* Border Patrol Officer* Constable* Cop* Deputy Sheriff* Highway Patrol Officer* Motorcycle Police* Mounted Police* Park Police* Patrol Officer* Policeman* Policewoman* State Highway Police Officer* State Trooper,33-3051,688.4,727.4,39.1,5.7,51,"63,150",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic,47-2011,15.9,16,0.1,0.9,1.4,"63,100",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,91.6,93.6,2,2.1,7.9,"62,990",Associate's degree,4,None,4,None,6
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor",25-1111,16.8,17.9,1.1,6.7,1.4,"62,860",Doctoral or professional degree,1,None,4,None,6
Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,19-1031,24.5,25.8,1.2,5.1,2.3,"62,660",Bachelor's degree,3,None,4,None,6
Pile driver operators    * Diesel Pile Hammer Operator* Hydraulic Pile Hammer Operator* Hydraulic Press-In Operator* Pile Driver Operator* Vibratory Pile Driver,47-2072,3.6,3.8,0.2,4.4,0.4,"62,600",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator,51-8091,29.2,28.3,-0.9,-3.1,2.6,"62,550",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Electrical and electronics installers and repairers, transportation equipment    * Locomotive Electrician* Marine Electronics Repairer* Marine Electronics Technician",49-2093,9.2,9.4,0.2,2.4,0.7,"62,530",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader",41-3031,464.2,481.6,17.4,3.7,40.5,"62,270",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Stationary engineers and boiler operators    * Boiler Engineer* Boiler Operator¿¿¿* Boiler Plant Operator* Boiler Room Operator* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator* High Pressure Boiler Operator",51-8021,34.4,35.1,0.8,2.2,3.5,"62,150",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator,13-1071,666.5,713.5,46.9,7,64.5,"61,920",Bachelor's degree,3,None,4,None,6
Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor,13-1074,0.8,0.9,0.1,10.4,0.1,"61,910",No formal educational credential,8,Less than 5 years,2,Short-term on-the-job training,5
Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,19-1032,11.6,12,0.4,3.8,1.1,"61,790",Bachelor's degree,3,None,4,None,6
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher",25-2032,73.8,75.5,1.7,2.3,4.8,"61,710",Bachelor's degree,3,Less than 5 years,2,None,6
"Special education teachers, secondary school",25-2058,143,147.6,4.6,3.2,10.3,"61,710",Bachelor's degree,3,None,4,None,6
Fire inspectors and investigators    * Arson Investigator* CFEI* Certified Fire Investigator* Certified Fire and Explosion Investigator* Certified Vehicle Fire Investigator* Fire Hazard Inspector* Fire Investigator* Fire Prevention Inspector* Fire Safety Inspector,33-2021,14.2,15,0.8,5.9,1.5,"61,660",Postsecondary nondegree award,5,5 years or more,1,Moderate-term on-the-job training,4
"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher",25-2031,"1,050.80","1,090.90",40.2,3.8,71.1,"61,660",Bachelor's degree,3,None,4,None,6
Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter,17-3012,25.3,25.4,0.1,0.5,2.2,"61,530",Associate's degree,4,None,4,None,6
Occupational therapy assistants    * COTA* Certified Occupational Therapy Assistant* Licensed Occupational Therapy Assistant* Occupational Therapist Assistants,31-2011,47.1,63.5,16.3,34.6,6.9,"61,510",Associate's degree,4,None,4,None,6
"Special education teachers, middle school",25-2057,84.7,86.9,2.2,2.6,6.1,"61,440",Bachelor's degree,3,None,4,None,6
Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,27-3041,118.7,110,-8.7,-7.3,9.8,"61,370",Bachelor's degree,3,Less than 5 years,2,None,6
Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist,29-1126,135.8,162,26.3,19.4,9.2,"61,330",Associate's degree,4,None,4,None,6
First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor,51-1011,648.9,646.9,-2,-0.3,56.9,"61,310",High school diploma or equivalent,7,Less than 5 years,2,None,6
Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,29-1031,74.2,80.1,5.9,8,5.3,"61,270",Bachelor's degree,3,None,4,Internship/residency,1
"Social workers, all other    * Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker",21-1029,62.5,65.6,3.2,5.1,5.8,"61,230",Bachelor's degree,3,None,4,None,6
Training and development specialists    * Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Job Training Specialist* Training Coordinator* Training Specialist* Workforce Development Specialist,13-1151,327.9,356.1,28.2,8.6,33.7,"61,210",Bachelor's degree,3,Less than 5 years,2,None,6
"Special education teachers, all other    * Autism Tutor* Special Education Teacher for Adults with Disabilities",25-2059,36.6,39.7,3.1,8.5,2.9,"61,190",Bachelor's degree,3,None,4,None,6
Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer,27-3031,274.6,294.3,19.7,7.2,27.1,"61,150",Bachelor's degree,3,None,4,None,6
Executive secretaries and executive administrative assistants    * Executive Assistant,43-6011,593.4,472.4,-121.1,-20.4,42.3,"60,890",High school diploma or equivalent,7,Less than 5 years,2,None,6
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher",25-2023,11.8,12.1,0.4,3.1,0.8,"60,800",Bachelor's degree,3,Less than 5 years,2,None,6
Construction and building inspectors    * Architectural Inspector* Bridge Inspector* Building Code Inspector* Building Inspector* Construction Inspector* Electrical Inspector* Elevator Inspector* Highway Inspector* Home Inspector* Plumbing Inspector* Public Works Inspector* Residential Building Inspector,47-4011,120.8,124.6,3.9,3.2,13.5,"60,710",High school diploma or equivalent,7,5 years or more,1,Moderate-term on-the-job training,4
Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician,29-2034,212,226.1,14.1,6.7,12,"60,510",Associate's degree,4,None,4,None,6
"Special education teachers, kindergarten and elementary school    * SED Elementary School Teacher* Severe Emotional Disorders Elementary School Teacher* Special Education Kindergarten Teacher",25-2052,193,198.6,5.6,2.9,13.9,"60,460",Bachelor's degree,3,None,4,None,6
Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,19-1011,2.8,3,0.2,5.5,0.3,"60,300",Bachelor's degree,3,None,4,None,6
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,9.1,8.6,-0.5,-5.5,0.7,"60,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Postal service mail sorters, processors, and processing machine operators    * Flat Sorter Operator* Flat Sorting Machine Clerk* Mail Forwarding System Markup Clerk* Parcel Post Distribution Machine Operator* Post Office Markup Clerk* Postal Service Mail Processor* Small Package and Bundle Sorter Clerk",43-5053,98.5,80.9,-17.6,-17.8,5.2,"60,140",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Court reporters and simultaneous captioners,27-3092,15.7,17,1.4,8.9,1.4,"60,130",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher",25-2051,23,24.9,1.9,8.3,1.8,"60,000",Bachelor's degree,3,None,4,None,6
"Sales representatives, wholesale and manufacturing, except technical and scientific products    * Bottling Equipment Sales Representative* Freight Broker* Hotel Supplies Salesperson* Mortician Supplies Sales Representative* Pulpwood Dealer* Wholesale Diamond Broker",41-4012,"1,399.70","1,412.90",13.2,0.9,127.5,"59,930",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
